geo_name,geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
Comox 1,5926801,225,0.04,0.51,0.16,0.18,0.87,0.47,0.53,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.52,0.90,NULL,NULL,0.24,0.39,0.60,0.13
Powell River,5927008,13160,0.05,0.49,0.13,0.15,0.55,0.48,0.41,0.26,0.36,0.01,0.01,0.00,0.01,0.00,0.07,0.75,0.28,0.83,0.31,0.49,0.53,0.07
Powell River A,5927010,1105,NULL,0.51,0.10,0.14,0.63,0.50,0.35,0.25,0.32,0.02,0.02,0.00,0.00,0.00,0.10,0.86,0.42,0.42,0.23,0.61,0.46,0.09
Powell River B,5927012,1540,NULL,0.51,0.10,0.15,0.59,0.49,0.36,0.26,0.41,0.00,0.00,0.00,0.00,0.01,0.08,0.83,0.36,0.79,0.28,0.54,0.53,0.04
Powell River C,5927016,2065,NULL,0.52,0.11,0.16,0.62,0.49,0.36,0.25,0.32,0.01,0.01,0.00,0.00,0.01,0.08,0.77,0.36,0.69,0.24,0.39,0.52,0.08
Powell River D,5927018,1075,NULL,0.53,0.07,0.13,0.62,0.55,0.40,0.23,0.30,0.00,0.00,0.00,0.01,0.00,0.09,0.82,0.24,0.57,0.31,0.51,0.44,0.10
Sliammon 1,5927802,705,0.01,0.48,0.16,0.17,0.61,0.42,0.44,0.27,0.30,0.00,0.00,0.00,0.00,0.00,0.69,0.65,NULL,NULL,0.24,0.49,0.59,0.15
Gibsons,5929005,4605,0.11,0.44,0.13,0.15,0.55,0.50,0.46,0.25,0.40,0.03,0.03,0.01,0.02,0.00,0.06,0.72,0.48,1.05,0.15,0.59,0.57,0.06
Sechelt,5929011,10215,0.03,0.47,0.11,0.15,0.51,0.51,0.39,0.25,0.37,0.03,0.03,0.01,0.00,0.00,0.07,0.77,0.51,1.06,0.30,0.56,0.52,0.07
Sunshine Coast A,5929018,2625,NULL,0.52,0.08,0.12,0.90,0.55,0.36,0.23,0.41,0.02,0.01,0.00,0.00,0.00,0.10,0.83,0.69,0.81,0.26,0.30,0.45,0.08
