geo_name,geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
Kitimat-Stikine F,5949038,360,NULL,0.49,0.19,0.19,0.74,0.39,0.37,0.29,0.53,0.00,0.03,0.03,0.00,0.00,0.36,0.48,0.29,0.69,0.30,0.48,0.72,0.10
Kitimat-Stikine D,5949041,100,NULL,0.45,0.15,0.10,0.70,0.43,0.40,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.32,0.88,0.56,0.00,0.21,0.43,0.60,0.22
Kitasoo 1,5949802,295,0.01,0.51,0.29,0.15,0.68,0.35,0.40,0.31,0.20,0.03,0.00,0.00,0.03,0.00,0.98,0.50,NULL,NULL,0.24,0.13,0.67,0.10
Kitamaat 2,5949803,525,0.03,0.54,0.18,0.16,0.78,0.43,0.65,0.3,0.36,0.00,0.00,0.00,0.00,0.00,0.97,0.78,NULL,NULL,0.20,0.31,0.41,0.16
Kitsumkaylum 1,5949804,335,0.01,0.52,0.19,0.16,0.70,0.38,0.51,0.29,0.27,0.03,0.03,0.00,0.00,0.00,0.98,0.86,NULL,NULL,0.26,0.36,0.64,0.18
Kulspai 6,5949807,90,0.12,0.39,0.17,0.17,0.75,0.41,0.53,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.89,0.80,NULL,NULL,0.27,0.40,0.60,0.44
Coryatsaqua (Moricetown) 2,5949810,85,0.01,0.53,0.24,0.29,0.80,0.40,0.47,0.26,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.63,NULL,NULL,0.33,0.47,0.67,0.20
Hagwilget 1,5949811,195,0.02,0.54,0.13,0.21,0.72,0.40,0.66,0.27,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.75,NULL,NULL,0.17,0.50,0.57,0.29
Gitanmaax 1,5949812,630,0.01,0.53,0.17,0.17,0.73,0.39,0.51,0.3,0.26,0.02,0.00,0.00,0.00,0.00,0.97,0.82,NULL,NULL,0.17,0.50,0.60,0.23
Kispiox 1,5949813,600,NULL,0.53,0.20,0.16,0.67,0.36,0.49,0.3,0.23,0.02,0.00,0.00,0.00,0.00,0.97,0.68,NULL,NULL,0.18,0.49,0.56,0.30
Gitsegukla 1,5949814,430,NULL,0.48,0.14,0.19,0.57,0.35,0.51,0.33,0.19,0.00,0.00,0.00,0.00,0.00,0.98,0.71,NULL,NULL,0.19,0.27,0.33,0.43
Gitanyow 1,5949815,435,0.01,0.52,0.24,0.20,0.63,0.34,0.45,0.32,0.18,0.00,0.00,0.00,0.00,0.00,0.99,0.62,NULL,NULL,0.18,0.26,0.52,0.44
Gitwangak 1,5949816,430,NULL,0.55,0.20,0.21,0.72,0.37,0.52,0.3,0.21,0.05,0.00,0.00,0.00,0.00,0.98,0.46,NULL,NULL,0.21,0.43,0.48,0.34
Moricetown 1,5949817,305,0.01,0.52,0.23,0.16,0.67,0.36,0.69,0.29,0.23,0.00,0.00,0.00,0.00,0.03,0.97,0.70,NULL,NULL,0.29,0.20,0.58,0.25
Sik-e-dakh 2,5949818,235,0.01,0.62,0.21,0.21,0.72,0.35,0.50,0.29,NULL,0.00,0.00,0.00,0.00,0.00,0.98,0.71,NULL,NULL,0.17,0.50,0.51,0.33
Babine 17,5949819,110,0.01,0.55,0.23,0.23,0.72,0.38,0.61,0.27,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.63,NULL,NULL,0.28,0.22,0.56,0.20
Bulkley River 19,5949820,130,0.01,0.54,0.19,0.27,0.56,0.27,0.59,0.37,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.43,NULL,NULL,0.18,0.24,0.56,0.00
Iskut 6,5949832,295,0.05,0.56,0.22,0.19,0.62,0.33,0.47,0.34,0.34,0.00,0.00,0.00,0.00,0.00,0.97,0.40,NULL,NULL,0.20,0.23,0.70,0.35
Guhthe Tah 12,5949843,150,0.05,0.47,0.17,0.13,0.77,0.42,0.33,0.28,NULL,0.07,0.00,0.00,0.00,0.00,0.97,0.55,NULL,NULL,0.24,0.20,0.68,0.29
Kitselas 1,5949844,270,0.01,0.48,0.24,0.19,0.57,0.28,0.44,0.38,0.26,0.00,0.00,0.00,0.00,0.00,0.98,0.53,NULL,NULL,0.24,0.35,0.59,0.15
Dease Lake 9,5949845,55,0.01,0.55,0.18,0.09,0.71,0.34,0.43,0.33,NULL,0.00,0.00,0.00,0.00,0.00,0.91,NULL,NULL,NULL,0.29,0.43,0.71,0.80
Telegraph Creek,5949847,50,NULL,0.80,0.20,0.20,1.00,0.42,0.38,0.4,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.75,NULL,NULL,0.22,0.33,0.75,0.50
Vanderhoof,5951007,4440,0.01,0.50,0.19,0.18,0.60,0.39,0.38,0.29,0.45,0.01,0.02,0.01,0.00,0.00,0.13,0.72,0.27,0.78,0.23,0.41,0.71,0.08
Fraser Lake,5951009,985,0.02,0.54,0.19,0.16,0.63,0.41,0.40,0.28,0.48,0.01,0.02,0.01,0.00,0.00,0.22,0.73,0.19,0.81,0.36,0.41,0.64,0.18
Fort St. James,5951013,1600,0.01,0.50,0.18,0.21,0.62,0.38,0.44,0.29,0.51,0.02,0.02,0.04,0.01,0.01,0.29,0.72,0.20,1.00,0.32,0.45,0.74,0.11
Bulkley-Nechako C,5951015,1415,NULL,0.53,0.12,0.18,0.63,0.44,0.33,0.27,0.58,0.01,0.01,0.00,0.00,0.01,0.14,0.86,0.27,0.72,0.33,0.43,0.72,0.14
Bulkley-Nechako D,5951017,1470,NULL,0.52,0.13,0.14,0.62,0.46,0.34,0.26,0.45,0.00,0.00,0.01,0.00,0.00,0.15,0.88,0.20,0.70,0.31,0.40,0.58,0.10
Bulkley-Nechako F,5951019,3665,NULL,0.52,0.15,0.16,0.72,0.39,0.29,0.3,0.43,0.01,0.01,0.00,0.00,0.01,0.10,0.88,0.26,0.79,0.34,0.32,0.68,0.13
Burns Lake,5951022,1780,0.03,0.49,0.21,0.19,0.59,0.39,0.45,0.3,0.39,0.03,0.02,0.00,0.00,0.01,0.32,0.60,0.17,0.78,0.29,0.48,0.64,0.13
Bulkley-Nechako B,5951028,1940,NULL,0.52,0.14,0.19,0.62,0.42,0.34,0.28,0.44,0.01,0.00,0.00,0.01,0.00,0.12,0.91,0.20,0.73,0.34,0.40,0.62,0.12
Bulkley-Nechako E,5951031,1595,NULL,0.51,0.13,0.14,0.56,0.42,0.32,0.29,0.38,0.01,0.02,0.00,0.00,0.00,0.13,0.88,0.24,0.61,0.23,0.53,0.62,0.15
Granisle,5951032,300,NULL,0.55,0.07,0.07,0.60,0.60,0.36,0.22,0.29,0.00,0.03,0.00,0.03,0.00,0.13,0.92,0.10,0.00,0.32,0.30,0.33,0.20
Houston,5951034,2995,NULL,0.52,0.17,0.17,0.61,0.39,0.35,0.28,0.49,0.02,0.01,0.02,0.02,0.00,0.18,0.72,0.19,0.73,0.34,0.42,0.69,0.12
Telkwa,5951038,1330,0.02,0.53,0.18,0.21,0.61,0.36,0.30,0.3,0.44,0.00,0.00,0.00,0.00,0.00,0.11,0.90,0.27,1.09,0.26,0.54,0.72,0.10
Smithers,5951043,5405,0.04,0.49,0.20,0.20,0.75,0.40,0.44,0.29,0.44,0.03,0.02,0.01,0.01,0.00,0.10,0.69,0.28,0.89,0.18,0.52,0.69,0.09
Bulkley-Nechako A,5951051,5255,NULL,0.51,0.15,0.19,0.62,0.40,0.31,0.29,0.47,0.01,0.01,0.00,0.00,0.00,0.08,0.89,0.39,0.78,0.20,0.52,0.72,0.09
Bulkley-Nechako G,5951053,900,NULL,0.51,0.13,0.18,0.63,0.44,0.29,0.27,0.47,0.01,0.00,0.00,0.00,0.00,0.13,0.84,0.16,0.70,0.35,0.43,0.70,0.17
Ye Koo Che 3,5951801,90,NULL,0.50,0.28,0.17,0.56,0.26,0.55,0.35,NULL,0.00,0.00,0.00,0.00,0.00,1.00,NULL,NULL,NULL,0.18,0.18,0.64,0.43
Nautley (Fort Fraser) 1,5951802,195,NULL,0.54,0.23,0.26,0.74,0.36,0.48,0.29,NULL,0.00,0.00,0.00,0.00,0.00,0.87,0.64,NULL,NULL,0.42,0.35,0.68,0.29
Nak'azdli (Necoslie 1),5951803,550,0.02,0.53,0.23,0.22,0.64,0.35,0.58,0.3,0.28,0.00,0.00,0.00,0.00,0.00,0.99,0.63,NULL,NULL,0.16,0.28,0.63,0.32
Binche 2 (Pinchie 2),5951805,185,NULL,0.54,0.22,0.19,0.60,0.32,0.59,0.31,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.38,NULL,NULL,0.15,0.37,0.63,0.29
Stellaquo (Stella) 1,5951807,205,NULL,0.56,0.15,0.24,0.57,0.35,0.52,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.97,NULL,NULL,NULL,0.39,0.23,0.48,0.20
Stony Creek 1,5951809,315,NULL,0.51,0.25,0.17,0.68,0.35,0.63,0.29,0.23,0.00,0.00,0.00,0.00,0.00,0.98,0.23,NULL,NULL,0.27,0.29,0.49,0.38
Tache 1,5951810,400,NULL,0.51,0.24,0.21,0.60,0.31,0.57,0.3,0.20,0.03,0.00,0.00,0.00,0.00,1.00,0.48,NULL,NULL,0.12,0.33,0.47,0.44
Burns Lake 18,5951815,45,0.01,0.56,0.22,0.22,0.67,0.35,0.63,0.35,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.67,NULL,NULL,0.25,0.63,0.75,0.33
Cheslatta 1,5951818,85,NULL,0.47,0.18,0.29,0.60,0.33,0.69,0.35,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.33,NULL,NULL,0.31,0.15,0.31,0.50
Woyenne 27,5951827,245,0.17,0.45,0.29,0.14,0.71,0.36,0.69,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.98,0.27,NULL,NULL,0.38,0.21,0.46,0.22
Babine 6,5951828,90,NULL,0.61,0.11,0.28,0.73,0.36,0.67,0.26,NULL,0.00,0.00,0.00,0.00,0.00,0.94,NULL,NULL,NULL,0.15,0.15,0.46,0.33
Babine 25,5951829,115,0.02,0.52,0.26,0.17,0.61,0.32,0.47,0.36,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.33,NULL,NULL,0.29,0.24,0.35,0.67
North Tacla Lake,5951848,195,0.01,0.54,0.23,0.23,0.77,0.37,0.61,0.3,NULL,0.00,0.00,0.00,0.00,0.00,1.00,0.38,NULL,NULL,0.00,0.47,0.48,0.33
Valemount,5953007,1020,0.02,0.50,0.17,0.18,0.67,0.43,0.45,0.27,0.38,0.02,0.00,0.01,0.00,0.00,0.18,0.72,0.24,0.79,0.38,0.39,0.66,0.11
McBride,5953012,615,0.01,0.49,0.15,0.16,0.63,0.44,0.48,0.28,0.34,0.03,0.03,0.04,0.00,0.00,0.13,0.57,0.21,0.59,0.21,0.46,0.57,0.16
Fraser-Fort George H,5953019,1590,NULL,0.52,0.12,0.15,0.62,0.47,0.30,0.26,0.32,0.02,0.01,0.00,0.00,0.00,0.09,0.89,0.36,0.66,0.29,0.51,0.65,0.09
Prince George,5953023,74000,0.02,0.50,0.22,0.20,0.75,0.39,0.45,0.28,0.46,0.02,0.02,0.04,0.01,0.00,0.16,0.69,0.28,0.93,0.32,0.48,0.69,0.09
Mackenzie,5953033,3715,NULL,0.55,0.20,0.21,0.65,0.39,0.36,0.28,0.54,0.00,0.01,0.02,0.00,0.00,0.14,0.79,0.16,0.98,0.33,0.42,0.72,0.08
Fraser-Fort George A,5953038,3460,NULL,0.53,0.16,0.21,0.65,0.40,0.28,0.28,0.54,0.01,0.01,0.00,0.00,0.00,0.11,0.95,0.36,0.95,0.30,0.51,0.72,0.07
Fraser-Fort George C,5953042,3525,NULL,0.51,0.13,0.20,0.75,0.41,0.28,0.29,0.61,0.01,0.02,0.00,0.00,0.00,0.09,0.95,0.40,1.09,0.30,0.54,0.70,0.06
Fraser-Fort George D,5953044,4275,NULL,0.51,0.14,0.19,0.77,0.42,0.32,0.28,0.55,0.01,0.01,0.01,0.00,0.00,0.10,0.94,0.34,0.82,0.21,0.46,0.68,0.08
Fraser-Fort George E,5953046,525,NULL,0.54,0.10,0.20,0.57,0.46,0.35,0.28,0.37,0.00,0.00,0.00,0.00,0.00,0.13,0.78,0.19,0.67,0.20,0.36,0.51,0.18
Fraser-Fort George F,5953048,1250,NULL,0.54,0.14,0.20,0.66,0.43,0.34,0.27,0.58,0.01,0.00,0.00,0.00,0.00,0.10,0.90,0.24,0.59,0.20,0.55,0.63,0.13
Fraser-Fort George G,5953050,335,NULL,0.57,0.07,0.18,0.84,0.49,0.35,0.24,0.38,0.02,0.03,0.00,0.00,0.00,0.24,0.76,0.18,0.00,0.25,0.39,0.64,0.09
Fort George (Shelley) 2,5953801,105,NULL,0.48,0.14,0.24,0.66,0.36,0.56,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.95,0.33,NULL,NULL,0.12,0.41,0.63,0.40
McLeod Lake 1,5953802,85,NULL,0.47,0.18,0.41,0.96,0.42,0.57,0.26,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.25,NULL,NULL,0.21,0.57,0.73,0.00
Tumbler Ridge,5955003,1990,NULL,0.52,0.18,0.19,0.62,0.39,0.35,0.28,0.49,0.00,0.02,0.01,0.00,0.01,0.18,0.76,0.17,0.87,0.31,0.46,0.64,0.23
Pouce Coupe,5955005,790,0.04,0.51,0.22,0.18,0.61,0.37,0.43,0.28,0.46,0.01,0.00,0.00,0.01,0.00,0.33,0.85,0.28,0.80,0.28,0.43,0.70,0.14
Chetwynd,5955010,2505,NULL,0.51,0.27,0.19,0.65,0.35,0.43,0.29,0.53,0.02,0.05,0.00,0.00,0.00,0.20,0.69,0.27,0.95,0.37,0.42,0.74,0.14
Dawson Creek,5955014,12180,0.05,0.49,0.26,0.18,0.64,0.37,0.48,0.29,0.50,0.01,0.04,0.03,0.01,0.00,0.17,0.61,0.30,1.12,0.30,0.46,0.71,0.12
Peace River D,5955021,5920,NULL,0.52,0.16,0.19,0.75,0.40,0.30,0.28,0.59,0.01,0.00,0.00,0.00,0.00,0.12,0.89,0.41,1.03,0.30,0.47,0.71,0.12
Peace River E,5955023,2950,NULL,0.53,0.16,0.18,0.65,0.41,0.32,0.28,0.57,0.01,0.01,0.00,0.00,0.00,0.18,0.85,0.33,0.76,0.29,0.34,0.67,0.13
Hudson's Hope,5955025,1015,NULL,0.51,0.16,0.18,0.59,0.43,0.37,0.28,0.45,0.01,0.01,0.00,0.01,0.00,0.19,0.79,0.32,1.06,0.30,0.51,0.57,0.13
Taylor,5955030,1470,0.01,0.50,0.27,0.20,0.63,0.33,0.33,0.3,0.64,0.03,0.00,0.01,0.00,0.00,0.18,0.82,0.32,1.15,0.31,0.44,0.75,0.11
Fort St. John,5955034,20155,0.08,0.52,0.30,0.21,0.66,0.33,0.43,0.29,0.61,0.03,0.04,0.04,0.02,0.00,0.12,0.61,0.39,1.27,0.33,0.48,0.79,0.11
Peace River B,5955040,5625,NULL,0.52,0.18,0.17,0.52,0.32,0.29,0.35,0.52,0.00,0.00,0.00,0.00,0.00,0.04,0.89,0.44,0.82,0.23,0.25,0.70,0.10
Peace River C,5955042,6770,NULL,0.52,0.17,0.21,0.72,0.38,0.31,0.3,0.71,0.01,0.01,0.00,0.00,0.00,0.12,0.86,0.58,1.24,0.29,0.45,0.72,0.11
East Moberly Lake 169,5955801,380,NULL,0.49,0.18,0.20,0.59,0.32,0.54,0.31,0.37,0.03,0.00,0.00,0.00,0.00,0.93,0.12,NULL,NULL,0.23,0.34,0.55,0.19
West Moberly Lake 168A,5955802,140,NULL,0.46,0.25,0.21,0.64,0.28,0.63,0.38,NULL,0.00,0.00,0.00,0.00,0.00,0.89,NULL,NULL,NULL,0.26,0.37,0.63,0.25
Blueberry River 205,5955803,195,NULL,0.51,0.26,0.23,0.69,0.32,0.66,0.33,NULL,0.00,0.00,0.00,0.00,0.00,0.95,0.31,NULL,NULL,0.22,0.13,0.44,0.36
Doig River 206,5955804,115,NULL,0.48,0.17,0.17,0.70,0.38,0.75,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.83,0.18,NULL,NULL,0.10,0.40,0.65,0.23
Fort Ware 1,5955807,335,0.01,0.54,0.19,0.18,0.52,0.30,0.51,0.31,0.20,0.00,0.00,0.00,0.00,0.00,0.97,0.41,NULL,NULL,0.11,0.07,0.58,0.27
Halfway River 168,5955808,170,NULL,0.53,0.24,0.26,0.65,0.32,0.68,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.97,0.17,NULL,NULL,0.19,0.19,0.46,0.25
Ingenika Point,5955812,235,NULL,0.51,0.26,0.15,0.59,0.33,0.53,0.38,NULL,0.00,0.00,0.00,0.00,0.00,0.98,0.40,NULL,NULL,0.09,0.21,0.71,0.29
Stikine Region,5957022,480,NULL,0.51,0.20,0.18,0.67,0.46,0.36,0.24,0.39,0.02,0.00,0.00,0.00,0.00,0.31,0.80,0.28,0.66,0.20,0.55,0.60,0.22
Five Mile Point 3,5957803,115,NULL,0.61,0.26,0.22,0.83,0.39,0.60,0.25,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.20,NULL,NULL,0.15,0.45,0.60,0.33
Lower Post,5957813,80,0.01,0.56,0.19,0.06,0.64,0.41,0.54,0.24,NULL,0.13,0.00,0.00,0.00,0.00,1.00,NULL,NULL,NULL,0.14,0.29,0.77,0.20
Liard River 3,5957814,35,NULL,0.43,0.29,0.29,1.00,0.36,0.57,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northern Rockies,5959007,4830,NULL,0.53,0.22,0.22,0.68,0.36,0.38,0.29,0.60,0.01,0.05,0.01,0.01,0.00,0.19,0.71,0.29,0.97,0.24,0.43,0.75,0.13
Fort Nelson 2,5959806,450,NULL,0.54,0.21,0.22,0.65,0.36,0.54,0.3,0.34,0.00,0.00,0.00,0.00,0.00,0.90,0.52,NULL,NULL,0.21,0.26,0.50,0.39
Prophet River 4,5959810,110,NULL,0.64,0.23,0.23,0.72,0.36,0.65,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.95,0.18,NULL,NULL,0.22,0.28,0.61,0.36
