geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
59090048,7970,0.40,0.50,0.22,0.20,0.60,0.37,0.33,0.31,0.31,0.03,0.02,0.58,0.01,0.01,0.03,0.72,0.55,0.88,0.37,0.34,0.67,0.10
59090051,6500,0.01,0.51,0.17,0.19,0.61,0.38,0.34,0.31,0.48,0.02,0.01,0.02,0.00,0.00,0.06,0.80,0.66,1.05,0.38,0.45,0.70,0.04
59090061,8745,0.28,0.46,0.17,0.15,0.55,0.47,0.54,0.27,0.31,0.01,0.02,0.02,0.01,0.01,0.13,0.51,0.27,0.87,0.34,0.42,0.56,0.09
59090066,8950,0.26,0.49,0.21,0.18,0.61,0.41,0.52,0.27,0.31,0.01,0.02,0.01,0.01,0.01,0.14,0.50,0.29,0.85,0.34,0.40,0.59,0.10
59090082,13140,0.02,0.50,0.18,0.22,0.58,0.36,0.32,0.31,0.48,0.02,0.01,0.02,0.01,0.01,0.06,0.87,0.51,1.43,0.34,0.52,0.69,0.06
59090083,2355,0.09,0.47,0.05,0.06,0.33,0.63,0.24,0.22,0.26,0.01,0.00,0.01,0.00,0.00,0.13,0.97,NULL,NULL,0.34,0.16,0.24,0.06
59090086,245,0.01,0.51,0.22,0.20,0.71,0.36,0.58,0.31,NULL,0.00,0.00,0.00,0.00,0.00,0.92,0.47,NULL,NULL,0.24,0.32,0.57,0.29
59090094,5605,0.17,0.49,0.17,0.22,0.60,0.35,0.33,0.33,0.49,0.03,0.02,0.05,0.01,0.01,0.06,0.84,0.61,1.08,0.20,0.54,0.74,0.06
59090098,10705,0.05,0.52,0.17,0.22,0.62,0.39,0.37,0.3,0.44,0.01,0.02,0.13,0.01,0.00,0.06,0.85,0.62,1.10,0.35,0.46,0.66,0.05
59150006,8675,0.04,0.50,0.11,0.21,0.57,0.41,0.33,0.32,0.76,0.16,0.02,0.13,0.00,0.00,0.01,0.89,1.99,2.27,0.08,0.70,0.62,0.06
59150014,7370,0.02,0.48,0.13,0.20,0.61,0.41,0.35,0.3,0.85,0.07,0.03,0.04,0.00,0.01,0.02,0.79,1.40,1.39,0.11,0.68,0.69,0.06
59150024,9500,0.27,0.48,0.23,0.19,0.67,0.43,0.45,0.26,0.98,0.14,0.01,0.05,0.01,0.01,0.02,0.54,2.20,1.52,0.08,0.75,0.66,0.06
59150027,575,0.21,0.51,0.22,0.21,0.64,0.36,0.57,0.31,0.25,0.02,0.03,0.00,0.00,0.02,0.87,0.41,NULL,NULL,0.18,0.38,0.58,0.14
59150033,8370,0.49,0.48,0.21,0.19,0.61,0.40,0.44,0.29,0.65,0.29,0.02,0.04,0.00,0.01,0.03,0.66,2.85,1.73,0.08,0.71,0.60,0.06
59150035,8640,1.63,0.50,0.34,0.24,0.89,0.40,0.46,0.25,0.76,0.31,0.04,0.19,0.01,0.03,0.01,0.44,1.33,1.84,0.09,0.79,0.68,0.06
59150040,11805,2.46,0.52,0.43,0.24,0.86,0.41,0.60,0.22,0.46,0.07,0.04,0.08,0.02,0.04,0.03,0.16,0.61,1.25,0.18,0.77,0.79,0.04
59150043,6485,0.60,0.48,0.25,0.20,0.78,0.39,0.46,0.29,0.60,0.16,0.03,0.05,0.01,0.01,0.02,0.55,2.14,1.62,0.09,0.70,0.67,0.06
59150045,12570,0.84,0.45,0.30,0.24,0.75,0.41,0.51,0.25,0.61,0.12,0.02,0.04,0.01,0.02,0.02,0.47,1.13,1.42,0.18,0.76,0.75,0.05
59150048,13590,1.49,0.51,0.45,0.25,0.91,0.37,0.49,0.24,0.62,0.24,0.05,0.11,0.01,0.02,0.03,0.46,0.71,1.83,0.18,0.79,0.79,0.05
59150049,120,0.03,0.54,0.25,0.25,0.82,0.37,0.70,0.27,NULL,0.00,0.08,0.00,0.00,0.00,0.84,0.63,NULL,NULL,0.33,0.29,0.57,0.00
59150060,1855,0.18,0.45,0.19,0.24,0.85,0.43,0.44,0.25,0.74,0.06,0.05,0.04,0.00,0.01,0.20,0.81,NULL,NULL,0.27,0.52,0.70,0.07
59150063,5795,0.96,0.44,0.27,0.25,0.82,0.43,0.49,0.25,0.59,0.22,0.05,0.05,0.02,0.02,0.02,0.50,0.66,1.35,0.15,0.80,0.76,0.04
59150065,10780,0.80,0.49,0.32,0.26,0.80,0.40,0.56,0.25,0.45,0.10,0.05,0.03,0.02,0.02,0.09,0.30,0.82,1.05,0.22,0.66,0.76,0.04
59150068,7570,0.40,0.49,0.19,0.21,0.62,0.44,0.45,0.29,0.49,0.25,0.05,0.06,0.01,0.01,0.03,0.67,1.16,1.17,0.29,0.55,0.65,0.05
59150069,8540,0.62,0.48,0.22,0.24,0.68,0.42,0.45,0.28,0.42,0.35,0.06,0.03,0.01,0.01,0.03,0.63,1.32,1.14,0.29,0.52,0.67,0.05
59150070,10780,0.91,0.48,0.34,0.26,0.85,0.38,0.51,0.26,0.48,0.14,0.13,0.04,0.01,0.01,0.03,0.39,0.98,1.21,0.22,0.68,0.81,0.04
59150081,5445,0.61,0.48,0.22,0.22,0.64,0.42,0.46,0.28,0.40,0.42,0.08,0.05,0.01,0.01,0.02,0.68,1.12,1.01,0.17,0.51,0.64,0.04
59150082,12780,0.73,0.49,0.29,0.24,0.74,0.39,0.49,0.28,0.43,0.24,0.14,0.05,0.01,0.02,0.03,0.50,1.08,1.22,0.24,0.61,0.76,0.06
59150086,8995,0.41,0.47,0.31,0.21,0.73,0.42,0.45,0.26,0.46,0.39,0.06,0.10,0.01,0.03,0.01,0.73,0.71,1.48,0.27,0.63,0.68,0.06
59150091,6225,0.45,0.49,0.23,0.18,0.67,0.43,0.48,0.29,0.31,0.61,0.17,0.05,0.00,0.01,0.01,0.64,1.35,1.13,0.18,0.44,0.62,0.07
59150092,7095,0.31,0.49,0.21,0.19,0.63,0.41,0.43,0.3,0.42,0.44,0.06,0.05,0.01,0.02,0.03,0.67,1.53,1.34,0.16,0.56,0.60,0.06
59150096,6140,0.42,0.50,0.24,0.20,0.81,0.41,0.45,0.3,0.35,0.51,0.20,0.05,0.01,0.01,0.01,0.66,1.44,1.10,0.34,0.44,0.63,0.05
59150103,6485,0.57,0.49,0.22,0.21,0.65,0.41,0.47,0.3,0.33,0.42,0.19,0.20,0.01,0.02,0.01,0.54,1.39,1.08,0.18,0.45,0.62,0.04
59150107,7375,0.79,0.48,0.25,0.21,0.81,0.40,0.49,0.29,0.33,0.36,0.28,0.13,0.02,0.02,0.02,0.65,0.95,1.07,0.29,0.50,0.65,0.06
